,PLAYER NAME,PLAYER TEAM,PLAYER POSITION,PROJ,TOTAL,rank,DATE
0,De'Von Achane,Mia,RB,7.3,51.3,1,09-26-23
1,Keenan Allen,LAC,WR,16.2,45.46,1,09-26-23
2,Raheem Mostert,Mia,RB,14.1,45.2,2,09-26-23
3,Davante Adams,LV,WR,20.4,42.2,2,09-26-23
4,Adam Thielen,Car,WR,9.7,31.5,3,09-26-23
5,Tyreek Hill,Mia,WR,23.8,30.7,4,09-26-23
6,Kenneth Walker III,Sea,RB,15,30.6,3,09-26-23
7,Justin Herbert,LAC,QB,20.2,29.3,1,09-26-23
8,Tua Tagovailoa,Mia,QB,20.4,28.36,2,09-26-23
9,Lamar Jackson,Bal,QB,20.8,28.18,3,09-26-23
10,Justin Jefferson,Min,WR,23.1,27.9,5,09-26-23
11,Ja'Marr Chase,Cin,WR,20,26.1,6,09-26-23
12,Patrick Mahomes,KC,QB,24.1,25.68,4.5,09-26-23
13,Kirk Cousins,Min,QB,19.9,25.68,4.5,09-26-23
14,Tank Dell,Hou,WR,9.8,25.5,7,09-26-23
15,Deebo Samuel,SF,WR,18.8,25.1,8.5,09-26-23
16,Mike Williams,LAC,WR,14,25.1,8.5,09-26-23
17,Amari Cooper,Cle,WR,13.3,24.6,10,09-26-23
18,Jordan Love,GB,QB,14,24.26,6,09-26-23
19,Andy Dalton,Car,QB,12.7,23.54,7,09-26-23
20,Christian McCaffrey,SF,RB,21.1,22.9,4,09-26-23
21,Zack Moss,Ind,RB,13.9,22.5,5,09-26-23
22,Sam LaPorta,Det,TE,9,22.4,1,09-26-23
23,A.J. Brown,Phi,WR,15.1,22.1,11,09-26-23
24,Josh Allen,Buf,QB,20.8,21.32,8,09-26-23
25,Deshaun Watson,Cle,QB,17.4,21.16,9,09-26-23
26,C.J. Stroud,Hou,QB,14.2,20.6,10,09-26-23
27,Brock Purdy,SF,QB,17.6,20.3,11,09-26-23
28,Travis Kelce,KC,TE,18.2,19.9,2,09-26-23
29,Jalen Hurts,Phi,QB,21.8,19.88,12,09-26-23
30,Amon-Ra St. Brown,Det,WR,15.7,19.6,12,09-26-23
31,James Conner,Ari,RB,13.5,19.6,6,09-26-23
32,Stefon Diggs,Buf,WR,16.6,19.1,13.5,09-26-23
33,Courtland Sutton,Den,WR,11.4,19.1,13.5,09-26-23
34,Jerome Ford,Cle,RB,13.2,19.1,7,09-26-23
35,DJ Chark Jr.,Car,WR,7.8,18.6,15,09-26-23
36,Kenny Pickett,Pit,QB,16.1,18.5,13,09-26-23
37,Chris Olave,NO,WR,15.5,18.4,16,09-26-23
38,Romeo Doubs,GB,WR,9.4,18.3,17,09-26-23
39,Jared Goff,Det,QB,15.3,18.02,14,09-26-23
40,Travis Etienne Jr.,Jax,RB,16.6,17.8,8.5,09-26-23
41,Jerick McKinnon,KC,RB,5.9,17.8,8.5,09-26-23
42,Jimmy Garoppolo,LV,QB,14.7,17.66,15,09-26-23
43,Alexander Mattison,Min,RB,14.5,17.5,10,09-26-23
44,DK Metcalf,Sea,WR,14.1,17.2,18.5,09-26-23
45,Miles Sanders,Car,RB,15.7,17.2,11,09-26-23
46,Tutu Atwell,LAR,WR,11.6,17.2,18.5,09-26-23
47,Marquise Brown,Ari,WR,12.5,17.1,20,09-26-23
48,Joshua Dobbs,Ari,QB,11,17.06,16,09-26-23
49,Mike Evans,TB,WR,14.6,17,21,09-26-23
50,Michael Pittman Jr.,Ind,WR,15.6,16.7,22,09-26-23
51,Marvin Mims Jr.,Den,WR,3.4,16.6,23,09-26-23
52,Rondale Moore,Ari,WR,6,16.2,24,09-26-23
53,George Kittle,SF,TE,12,16,3,09-26-23
54,Isiah Pacheco,KC,RB,14.4,15.8,12,09-26-23
55,Jakobi Meyers,LV,WR,12.4,15.5,25,09-26-23
56,Geno Smith,Sea,QB,16.5,15.44,17,09-26-23
57,Christian Kirk,Jax,WR,12.1,15.4,26,09-26-23
58,Michael Gallup,Dal,WR,6.5,15.2,27.5,09-26-23
59,Calvin Austin III,Pit,WR,7.5,15.2,27.5,09-26-23
60,Tony Pollard,Dal,RB,19.3,15.1,13,09-26-23
61,Pharaoh Brown,NE,TE,0,15.1,4,09-26-23
62,Dameon Pierce,Hou,RB,10.7,14.9,14,09-26-23
63,D'Andre Swift,Phi,RB,10.4,14.8,15,09-26-23
64,Joshua Palmer,LAC,WR,6,14.6,29,09-26-23
65,Donald Parham Jr.,LAC,TE,4.9,14.4,5,09-26-23
66,Dak Prescott,Dal,QB,17.2,14.36,18.5,09-26-23
67,Trevor Lawrence,Jax,QB,17.6,14.36,18.5,09-26-23
68,Russell Wilson,Den,QB,17,14.24,20,09-26-23
69,Joe Mixon,Cin,RB,16.9,14,16,09-26-23
70,T.J. Hockenson,Min,TE,14.5,13.8,6,09-26-23
71,Olamide Zaccheaus,Phi,WR,2.3,13.8,30.5,09-26-23
72,Robbie Chosen,Mia,WR,4.9,13.8,30.5,09-26-23
73,Evan Engram,Jax,TE,9.4,13.7,7,09-26-23
74,Josh Downs,Ind,WR,9.4,13.7,32,09-26-23
75,Rico Dowdle,Dal,RB,4.6,13.6,17,09-26-23
76,Mac Jones,NE,QB,13.3,13.34,21,09-26-23
77,James Cook,Buf,RB,14.2,13.2,18,09-26-23
78,DJ Moore,Chi,WR,12.7,13.1,33.5,09-26-23
79,Pat Freiermuth,Pit,TE,8.4,13.1,8,09-26-23
80,Jerry Jeudy,Den,WR,13.1,13.1,33.5,09-26-23
81,Gardner Minshew,Ind,QB,15.2,13.08,22,09-26-23
82,Zay Flowers,Bal,WR,12.7,13,35,09-26-23
83,Clyde Edwards-Helaire,KC,RB,4.4,12.7,19,09-26-23
84,Puka Nacua,LAR,WR,16.2,12.2,36,09-26-23
85,Tyler Higbee,LAR,TE,8.2,12.1,9,09-26-23
86,Elijah Moore,Cle,WR,10.5,11.8,37,09-26-23
87,George Pickens,Pit,WR,14,11.5,38,09-26-23
88,Matthew Stafford,LAR,QB,15.7,11.46,23,09-26-23
89,Jordan Addison,Min,WR,10.9,11.2,39,09-26-23
90,Josh Jacobs,LV,RB,16.9,11,20,09-26-23
91,Michael Thomas,NO,WR,12.8,11,40,09-26-23
92,Rashee Rice,KC,WR,5,10.9,41,09-26-23
93,Luke Musgrave,GB,TE,8,10.9,10,09-26-23
94,Matt Breida,NYG,RB,9.2,10.8,21,09-26-23
95,Justin Fields,Chi,QB,18.7,10.66,24,09-26-23
96,Michael Wilson,Ari,WR,5.9,10.6,42.5,09-26-23
97,K.J. Osborn,Min,WR,8.4,10.6,42.5,09-26-23
98,Ronnie Bell,SF,WR,5.5,10.4,44,09-26-23
99,Gabe Davis,Buf,WR,11.5,10.3,45,09-26-23
100,CeeDee Lamb,Dal,WR,16.2,10.2,46,09-26-23
101,Terry McLaurin,Wsh,WR,12.4,10.1,47,09-26-23
102,Baker Mayfield,TB,QB,14.9,10.04,25,09-26-23
103,Bijan Robinson,Atl,RB,18.5,10,22,09-26-23
104,Garrett Wilson,NYJ,WR,14.3,9.8,48,09-26-23
105,Jake Ferguson,Dal,TE,8.5,9.8,11,09-26-23
106,Ezekiel Elliott,NE,RB,6.5,9.7,23,09-26-23
107,Kalif Raymond,Det,WR,3.3,9.5,49,09-26-23
108,Jayden Reed,GB,WR,10.9,9.3,50,09-26-23
109,Brevin Jordan,Hou,TE,1.6,9.3,12,09-26-23
110,Jahmyr Gibbs,Det,RB,15.9,9.2,24.5,09-26-23
111,Tony Jones Jr.,Ari,RB,6.9,9.2,24.5,09-26-23
112,Dallas Goedert,Phi,TE,9.8,9.1,13,09-26-23
113,Latavius Murray,Buf,RB,4.1,9.1,26,09-26-23
114,Gerald Everett,LAC,TE,6.8,9,14,09-26-23
115,Tyler Boyd,Cin,WR,9.3,8.9,51,09-26-23
116,Kyle Pitts,Atl,TE,8.9,8.7,15.5,09-26-23
117,Jonnu Smith,Atl,TE,3.7,8.7,15.5,09-26-23
118,Kendrick Bourne,NE,WR,10.2,8.6,52,09-26-23
119,Kyren Williams,LAR,RB,18,8.5,27.5,09-26-23
120,Javonte Williams,Den,RB,14,8.5,27.5,09-26-23
121,Terrace Marshall Jr.,Car,WR,3,8.5,53.5,09-26-23
122,Dontayvion Wicks,GB,WR,6.8,8.5,53.5,09-26-23
123,Tyler Lockett,Sea,WR,13,8.4,55.5,09-26-23
124,Parris Campbell,NYG,WR,7.1,8.4,55.5,09-26-23
125,Josh Oliver,Min,TE,4.1,8.4,17,09-26-23
126,Jaylen Warren,Pit,RB,12.3,8.2,29,09-26-23
127,Chris Godwin,TB,WR,13.4,8.2,57.5,09-26-23
128,Skyy Moore,KC,WR,7,8.2,57.5,09-26-23
129,Joe Burrow,Cin,QB,19.4,8.16,26,09-26-23
130,Derek Carr,NO,QB,14.3,8.12,27,09-26-23
131,Noah Fant,Sea,TE,6,8.1,18,09-26-23
132,Donovan Peoples-Jones,Cle,WR,5.4,7.9,59.5,09-26-23
